Product Type,Coating,Thickness (mm),Size (mm),Item Number,Price One-sided (EUR),Price Two-sided (EUR),Pallet Size (sheets),Notes
HPL Compact,One-sided white core,6,2440x1220,HPL-6-WC-1S,45.50,52.30,50,White core standard
HPL Compact,Two-sided decorative,8,2800x1300,HPL-8-DD-2S,,68.90,40,Two-sided only
HPL Compact,One-sided black core,10,2440x1220,HPL-10-BC-1S,58.75,71.20,35,order only; Special order only
HPL Compact,Two-sided premium,12,3050x1320,HPL-12-PR-2S,72.40,89.95,40,
Melamine,Standard white,6,2440x1220,MEL-6-SW,23.50,28.90,80,
Melamine,Woodgrain decorative,8,2800x1300,MEL-8-WG,31.20,39.75,60,Premium woodgrain pattern
Melamine,High-gloss finish,10,2440x1220,MEL-10-HG,42.30,54.80,50,High gloss requires careful handling
Exterior HPL Compact,UV resistant,6,2440x1220,EXT-6-UV-1S,52.00,61.50,45,UV stabilized for outdoor use
Exterior HPL Compact,Weather resistant,8,2800x1300,EXT-8-WR-2S,69.90,84.20,35,Suitable for facade applications
Exterior HPL Compact,Weather resistant,10,3050x1320,EXT-10-WR,78.50,96.30,30,
MDF,Raw/Uncoated,6,2440x1220,GENERIC,15.50,,100,Raw material - no coating options; Generic product - no specific item code
MDF,Raw/Uncoated,8,2800x1300,GENERIC,19.80,,80,Generic product - no specific item code
MDF,Raw/Uncoated,10,2440x1220,GENERIC,24.50,,60,Can be custom finished; Generic product - no specific item code
HPL Compact,Antimicrobial coating,8,2440x1220,HPL-8-AMB,76.50,92.30,40,"Medical grade, antimicrobial protection"
HPL Compact FR,Fire-rated,10,3050x1320,HPL-10-FR,85.00,104.50,35,"Class B-s1,d0 fire rating, certificate included"
HPL Compact,Textured finish,12,2440x1220,HPL-12-TEX,68.90,83.40,30,textured finish; charge for custom colors: +€12.50/sheet
HPL Compact,Custom,15,2440x1220,HPL-15-CST,95.00,118.00,25,"2-week lead time, minimum order 10 sheets"
MDF,Foil finish,6,2440x1220,FOIL-6-MDF,28.50,36.90,70,+€5.00 for premium foil colors
